order_date,daily_revenue,daily_orders,aov
2018-07-04,35651.65,256,139.2642578125
2018-07-05,28809.33,195,147.74015384615385
2018-07-06,19005.54,121,157.0705785123967
2018-07-07,9076.56,91,99.74241758241757
2018-07-08,14410.79,122,118.12122950819673
2018-07-09,19564.85,148,132.1949324324324
2018-07-10,18724.57,132,141.85280303030302
2018-07-11,18519.98,127,145.82661417322834
2018-07-12,28891.77,121,238.77495867768596
2018-07-13,27644.23,167,165.5343113772455
2018-07-14,22257.69,148,150.3897972972973
2018-07-15,30037.49,152,197.6150657894737
2018-07-16,31308.29,245,127.7889387755102
2018-07-17,30421.48,221,137.6537556561086
2018-07-18,41193.49,305,135.06062295081966
2018-07-19,38705.58,253,152.98648221343873
2018-07-20,32031.44,249,128.64032128514054
2018-07-21,21113.579999999998,187,112.90684491978608
2018-07-22,27753.420000000002,215,129.08567441860467
2018-07-23,39911.22,305,130.85645901639344
2018-07-24,41525.76,270,153.79911111111113
2018-07-25,40417.5,268,150.8115671641791
2018-07-26,35292.72,247,142.8855060728745
2018-07-27,28371.75,189,150.11507936507937
2018-07-28,25210.12,175,144.05782857142856
2018-07-29,31434.079999999998,188,167.20255319148936
2018-07-30,39070.66,284,137.57274647887326
2018-07-31,45316.28,320,141.613375
2018-08-01,40553.8,310,130.81870967741938
2018-08-02,38462.26,299,128.63632107023412
2018-08-03,42075.18,314,133.99738853503186
2018-08-04,35511.96,245,144.94677551020408
2018-08-05,35583.76,276,128.92666666666668
2018-08-06,56427.39,372,151.68653225806452
2018-08-07,49178.98,366,134.36879781420765
2018-08-08,43333.07,315,137.56530158730158
2018-08-09,40040.28,283,141.4850883392226
2018-08-10,33424.73,253,132.11355731225296
2018-08-11,25960.93,186,139.57489247311827
2018-08-12,31524.21,197,160.02137055837562
2018-08-13,38613.13,288,134.07336805555553
2018-08-14,44192.84,315,140.29473015873015
2018-08-15,45574.04,285,159.90891228070177
2018-08-16,35670.61,318,112.17172955974843
2018-08-17,31730.67,255,124.434
2018-08-18,24340.95,196,124.18852040816327
2018-08-19,25487.39,204,124.9381862745098
2018-08-20,34479.5,252,136.8234126984127
2018-08-21,26323.06,239,110.13832635983265
2018-08-22,20297.13,186,109.12435483870968
2018-08-23,17030.87,142,119.93570422535211
2018-08-24,9633.61,98,98.30214285714287
2018-08-25,10599.41,69,153.61463768115942
2018-08-26,8070.71,73,110.55767123287671
2018-08-27,5345.91,66,80.99863636363636
2018-08-28,3673.91,39,94.20282051282051
2018-08-29,1546.04,11,140.5490909090909
2018-09-03,145.0,1,145.0
